address,avg_chads,most_common_chadvolution,opt_in?,whitelists
0xf1c1cdf8a84a5e042eb2213623adaec37fe21eb6,1923269.7275183562,CHAD MACHINA,Yes,3
0xfa0599471e5545ed556253f7d95c24e48914481a,1382761.4335270096,CHAD MACHINA,Yes,3
0x821928c6c679ea1f57dfa98abbed5ca702c00ca5,1159853.8297202343,CHAD MACHINA,Yes,3
0x79acbf17da6520d923673a285955bbbc468dd609,896046.3692654675,CHAD MACHINA,Yes,3
0x4e08bbcf8e3ac392130efd2be27b2a4f93c544c7,795732.8789836983,CHAD MACHINA,Yes,3
0x7f0f65a8d46644d356694af1d1da45335a1625f0,788340.0195263545,CHAD MACHINA,Yes,3
0x444e01dcb3a1ec1b1aa1344505ed7c8690d53281,822708.1344382503,CHADES,No,0
0x0fdfba7a99e61494c23f0e4586b208a1de843844,718578.0302310869,CHADES,Yes,2
0x469e8152ae1ce03929de8473e1718a55a12a9ee1,692644.1593691274,CHADES,Yes,2
0x6c9040d7752bd7405ee847156fa43710a373ce82,600000.0,CHADES,No,0
0x0c6461f4db76b6a9c9336b6e9e04844a7e50f649,595007.8185297843,CHADES,No,0
0xf3b387cd539f8d9666817994d058e218e711cb85,540369.6501404898,CHADES,No,0
0xda81a57188006feac8711b046b28a79ea202e999,523054.87061439385,CHADES,Yes,2
0xd9cfab54f1234aeea22b2818ab919866a2809c1c,520005.55477149884,CHADES,Yes,2
0x54190d499849834c09671e5de5a73ceeb10cc4ca,504371.98612598056,CHADES,Yes,2
0x9ee7c12413859c75b76e33fbb0f2ff8d7362ba02,502179.41912409355,CHADES,Yes,2
0x7f714a66b41eff3fb5827fd925102a3ab4eebf00,470735.68611335615,THETA CHAD,Yes,1
0xf1b161020396c2b7ffeb5c3d28a4e198cb60ed9f,469798.81696353975,THETA CHAD,Yes,1
0x8454e1ee9a5324a291516b95364a929d723b2308,452298.9310553583,THETA CHAD,Yes,1
0x0bf572ea9b3314fdcd60f15bbc7533ba38d2c3e7,426857.0413512036,THETA CHAD,No,0
0x21b314ea7cbc83ec77061698d93219b024e15f40,425086.4637391159,THETA CHAD,Yes,1
0x829499d627a61e46541abaf5999f6ac493106734,402668.93999337574,THETA CHAD,Yes,1
0x886402411ee3c7a89f31f307b1fb7f31f17085b7,395717.63706722856,THETA CHAD,Yes,1
0xdc062f6b1f3fc0a8f1494cf1811e12ac5a104792,378468.98050529085,THETA CHAD,Yes,1
0x1d649f503037c37d46508f29a5bf9e46b83764ca,377150.00000000006,THETA CHAD,No,0
0x5c50e34946b0f6ee2f3b2b8f2845c93a4919e549,351386.126530464,THETA CHAD,Yes,1
0x470f1d931d21296a356f50ccc848a8050a3e7a06,350372.73935886304,THETA CHAD,Yes,1
0x1e5a689f9d4524ff6f604cda19c01faa4ca664ea,350000.0,THETA CHAD,No,0
0x6152128f7811f1400a6d4b364f1ddef0a60f1854,346883.76801229664,THETA CHAD,Yes,1
0x4817c82e4c834f66ba309808cd7c250866ad882c,343130.53456798044,THETA CHAD,No,0
0x5e1dd88ffb9a3e7abd2e92998f6e9e13bc266ac8,337492.0137811274,THETA CHAD,No,0
0x0d3f7f5f418c0044aadf8f64aeb4de91e1576bc5,321774.2087831474,THETA CHAD,Yes,1
0x90be065623281f53b0d214ad7f3813a2520a34a7,320430.67938387766,THETA CHAD,Yes,1
0x7eeab8631b7c2459d0e29658d79a292ae21884d9,317563.3883409802,THETA CHAD,Yes,1
0xeb4a6be50ea7a449cd3432db31926fd2d3e2145f,313581.21775894176,THETA CHAD,Yes,1
0x4fe6cfac9a42456adb9807557a676c3166d23b9b,310954.2881248668,THETA CHAD,Yes,1
0x23b4cd421b7cb7d274689b2a7c100baf8546941b,310334.1977203044,THETA CHAD,Yes,1
0x1b998d5adabc0f3adbd5fa321ce6671a27963e3e,303859.9497068472,THETA CHAD,No,0
0x2e11d52cad922db32eeb3b3315184793ba02749b,300997.88362386083,THETA CHAD,No,0
0x809070d66ea9e3216e62a7c385f7c6c27f3ee1c8,295119.7403745238,THETA CHAD,No,0
0x9b269141e3b2924e4fec66351607981638c0f30f,293719.39441179513,THETA CHAD,No,0
0x4a63cb3f114b7fc54d0c705821f48ea75a417f3b,289113.6473427626,GIGA CHAD,Yes,1
0x694890a2e3f686c37f4a8a382dae232cd5408d20,288080.4771553311,GIGA CHAD,Yes,1
0x6c83d536960d72a15d85fe0373ca202d131a39ac,279999.0,GIGA CHAD,No,0
0xb8a6e71fa55b68b7618107832e5ff48949c85eea,279999.0,GIGA CHAD,No,0
0x284508b15d5e942394e74e117c67d351673b72f9,279999.0,GIGA CHAD,No,0
0x1d419a09393dd74813d9c29fd534f2901778be44,279999.0,GIGA CHAD,No,0
0xc61212a2b765fb5ee142b02d50449d483c9c9490,277113.0382130249,GIGA CHAD,Yes,1
0xdb23899c71ca7a8647cc649d73188804593ff4b7,264510.20563927974,GIGA CHAD,Yes,1
0x9b4052da2ba4f3adae8ac1f664547ade091ecf92,260000.0,GIGA CHAD,No,0
0x44acd0ff3be9fdfb932453c82b5df5739d28b276,256666.66666666695,GIGA CHAD,Yes,1
0xbd9ce5c6f04664d8097b7ea3375abe09c489dae7,251777.68195300002,GIGA CHAD,Yes,1
0xd40ae95119675b7ce40d8f072fd0c607c2f49710,250000.0,GIGA CHAD,No,0
0x986a5d908e0d97a5727936d209a749bcf0b6bbec,250000.0,GIGA CHAD,No,0
0xc79dff7a2a0e2adaa6f2d490f28dc0028bbebc93,243727.26521164025,GIGA CHAD,Yes,1
0x01d95fe47b6737206075cd92db38cc32b58d5aff,239743.32115811025,GIGA CHAD,Yes,1
0xe9313e587dafc42ecb475b4e2df1e235258e8375,231819.18671005315,GIGA CHAD,Yes,1
0x3f2f5d6ab89818e6382567b022cc738f7acacc60,229389.40139855372,GIGA CHAD,No,0
0xca079f039c0a3f2632ace1bf782e1e2b192d88b2,227018.60376306545,GIGA CHAD,No,0
0x6833338b84eadb845e4db8de6d9e4e378df3794b,210000.0,GIGA CHAD,Yes,1
0x82e8936b187d83fd6eb2b7dab5b19556e9deff1c,202955.25511525417,GIGA CHAD,Yes,1
0x7532a9e3e9475337c8a907428e35932a20959fdf,199315.48439445288,GIGA CHAD,Yes,1
0xc1775f0adc030db61eeb1200207c314c221a3918,198623.76261291504,GIGA CHAD,No,0
0xd201ecbe85a32944464964a1e1c02f923e7c4dfe,196774.52522002067,GIGA CHAD,Yes,1
0x19b05ac395f29d81b205baef519bb108a00bbb91,190134.77582544487,GIGA CHAD,Yes,1
0x1a36d7bac3ca3424fe2a2672bc9b35cd7f40e7e6,189999.999999997,GIGA CHAD,No,0
0x5e4747832599a4b955ee85821bb285e8132c99ae,186869.56377,GIGA CHAD,Yes,1
0xea415927951bc7f7f3148da53ec7f9e0866d512d,185704.47602930557,GIGA CHAD,No,0
0x36592ea662e49904c27dd416a6b3ebdd16c91512,182487.39660231452,GIGA CHAD,Yes,1
0x596572fb0e85ed15c2e5fc0f126878cf6b6b95f4,177278.6908571809,GIGA CHAD,Yes,1
0xe9150b55630ec6e725da9619dce08f941704e67f,176047.1599006429,GIGA CHAD,No,0
0x8ab3c762628e9fcfdf1fa642af8ffb005be29048,174671.02693264248,GIGA CHAD,Yes,1
0xb95d248a887a17bb08a6025ab95589a4d0ea0146,173296.00880883975,GIGA CHAD,Yes,1
0x947463e179a6a9214c0fd48897ceff52f62ab272,173276.2032004924,GIGA CHAD,Yes,1
0xc08de9d8834b3ee012d684db239bf7868c818327,169067.365801631,GIGA CHAD,No,0
