address,avg_chads,most_common_chadvolution,opt_in?,whitelists,latest_snapshot_chads,latest_snapshot_chadvolution,all_chads_snaphsots,all_chadvolution_snapshots
0xf1c1cdf8a84a5e042eb2213623adaec37fe21eb6,1955060.6295965617,CHAD MACHINA,Yes,3,1954588.257314653,CHAD MACHINA,[1915658.5884287425, 1923449.8123286571, 1930700.7817976684, 1935554.361500881, 1939124.5907804172, 1932127.2561389862, 1933939.9320607032, 1950221.0280916588, 1954322.3248257674, 1955125.618766136, 1962374.1916857262, 1995058.5666299954, 1989105.904474569, 1989193.3457498774, 1988856.4746805981, 1985545.5882058826, 1956144.7092771903, 1954588.257314653],['CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA']
0xfa0599471e5545ed556253f7d95c24e48914481a,1384661.9103232636,CHAD MACHINA,Yes,3,1416970.0158595927,CHAD MACHINA,[1382761.4335270096, 1382761.4335270096, 1382761.4335270096, 1382761.4335270096, 1382761.4335270096, 1382761.4335270096, 1382761.4335270096, 1382761.4335270096, 1382761.4335270096, 1382761.4335270096, 1382761.4335270096, 1382761.4335270096, 1382761.4335270096, 1382761.4335270096, 1382761.4335270096, 1382761.4335270096, 1382761.4335270096, 1416970.0158595927],['CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA']
0x821928c6c679ea1f57dfa98abbed5ca702c00ca5,1273241.859679443,CHAD MACHINA,Yes,3,1831173.8835009527,CHAD MACHINA,[1148311.9484260054, 1160126.9186073141, 1171122.6221273835, 1178482.813568767, 1178085.4599900662, 1167527.9298601956, 1170262.8827586758, 1194827.6878883871, 1201015.6960458807, 1202227.7003894157, 1213164.2970964005, 1262478.2560439922, 1253496.9205385074, 1253628.851330155, 1253120.5825898335, 1248125.1399670918, 1831173.8835009527, 1831173.8835009527],['CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA']
0x79acbf17da6520d923673a285955bbbc468dd609,897528.7553974157,CHAD MACHINA,Yes,3,901855.6768037828,CHAD MACHINA,[910871.8309094616, 887755.6474366601, 889511.6294502809, 890687.0307117173, 891551.6403926938, 889857.0816407709, 890296.0610529254, 894238.8871694293, 895232.1065352526, 895426.641861455, 897182.0434978316, 905097.2850077916, 903655.7167150605, 903676.8925464228, 903595.311794898, 902793.5076880695, 902232.6059389778, 901855.6768037828],['CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA']
0x4e08bbcf8e3ac392130efd2be27b2a4f93c544c7,880750.225776959,CHAD MACHINA,Yes,3,896099.5263060159,CHAD MACHINA,[608325.3233452886, 888558.665796093, 890314.6478097134, 891490.0490711501, 892354.6587521263, 890660.1000002035, 891099.0794123581, 895041.9055288619, 896035.1248946851, 896229.6602208875, 897985.0618572644, 905900.303367224, 904458.735074493, 904479.9109058555, 904398.3301543308, 903596.5260475022, 896476.4554412111, 896099.5263060159],['CHADES', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA']
0x7f0f65a8d46644d356694af1d1da45335a1625f0,842488.8971078633,CHAD MACHINA,Yes,3,853318.672624165,CHAD MACHINA,[709274.3885089734, 827872.835035045, 827872.835035045, 853318.672624165, 853318.672624165, 853318.672624165, 853318.672624165, 853318.672624165, 853318.672624165, 853318.672624165, 853318.672624165, 853318.672624165, 853318.672624165, 853318.672624165, 853318.672624165, 853318.672624165, 853318.672624165, 853318.672624165],['CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA', 'CHAD MACHINA']
0x0fdfba7a99e61494c23f0e4586b208a1de843844,746157.2782258792,CHADES,Yes,2,776308.9139768466,CHADES,[696761.3347748484, 728608.3869523958, 730364.3689660162, 731539.7702274531, 732404.3799084291, 730709.8211565062, 731148.800568661, 735091.6266851649, 736084.8460509881, 736279.3813771905, 738034.783013567, 745950.0245235269, 776308.9139768466, 776308.9139768466, 776308.9139768471, 776308.9139768466, 776308.9139768466, 776308.9139768466],['CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES']
0x469e8152ae1ce03929de8473e1718a55a12a9ee1,714734.5260293717,CHADES,Yes,2,703794.5217349306,CHADES,[688705.8780427616, 688705.8780427616, 700520.722021859, 700520.722021859, 713476.8966249739, 713476.8966249739, 713476.8966249739, 713476.8966249739, 713476.8966249739, 713476.8966249739, 713476.8966249739, 728710.861615047, 739032.5217349306, 739032.5217349306, 739032.5217349306, 739032.5217349306, 703794.5217349306, 703794.5217349306],['CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES']
0x6c9040d7752bd7405ee847156fa43710a373ce82,600000.0,CHADES,No,0,600000.0,CHADES,[600000.0, 600000.0, 600000.0, 600000.0, 600000.0, 600000.0, 600000.0, 600000.0, 600000.0, 600000.0, 600000.0, 600000.0, 600000.0, 600000.0, 600000.0, 600000.0, 600000.0, 600000.0],['CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES']
0xda81a57188006feac8711b046b28a79ea202e999,537284.052546944,CHADES,Yes,2,542349.5494239536,CHADES,[497224.09828244406, 535679.0505159013, 536261.4630448361, 536651.3123803511, 536938.080414951, 536376.0403482072, 536521.6381434011, 537829.3686963632, 538158.7931427122, 538223.3153362324, 538805.5353694721, 537430.8104515558, 545122.0766372046, 545129.1000972403, 545102.0419318152, 544836.10483568, 542474.5667926711, 542349.5494239536],['CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES']
0xd9cfab54f1234aeea22b2818ab919866a2809c1c,518565.72179711505,CHADES,Yes,2,509421.72902361787,CHADES,[518071.8457907865, 520051.30766221206, 521893.51086149795, 523126.6259774091, 524033.6892093059, 522255.9252402242, 522716.45915869216, 496238.8835808736, 520534.16541244654, 520738.25269666937, 522579.8470213728, 530883.7380177869, 518191.3866951313, 518213.60228958545, 518128.0158084637, 517286.8419927055, 509817.1659092889, 509421.72902361787],['CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES', 'CHADES']
